medicine_id,medicine_name,brand,pharmacy_names,latitudes,longitudes,total_quantity_sold
11359,Paracetamol Ph. Eur.,Cipladon 1000 Tablets,"ANGELIC STAR PHARMACEUTICALS, EMIR HEALTH CENTER , MEDPLEX CHEMIST, Nas Chemist, SIDAI CHEMIST","-1.2834847, -1.266125, -1.4293031, 0.5206237, -1.4779526","36.889222, 36.910522, 36.6872005, 35.2762755, 36.9577694",105
11372,Soluble Paracetamol Tablets BP 500 mg,Fizzmol - 500 Tablets,Fast Health Pharmacy ,-1.2908275,36.7327734,4
11517,Cefixime,CEFIZ 400,SIDAI CHEMIST,-1.4779526,36.9577694,5
12050,Desloratadine,AERIUS tablets,MEDPLEX CHEMIST,-1.4293031,36.6872005,8
12335,Paracetamol,PARADOL,SIDAI CHEMIST,-1.4779526,36.9577694,1
12417,Diphenhydramine HCL and Ammonium Chloride,DEKOZI EXPECTORANT,ANGELIC STAR PHARMACEUTICALS,-1.2834847,36.889222,1
12457,"Ibuprofen, Paracetamol & Caffeine",IBUCAP FORTE CAPSULES,MEDPLEX CHEMIST,-1.4293031,36.6872005,50
12526,"Aceclofenac, Paracetamol, Chlorzoxazone",GALAXY'S LYSODOL MR TABLETS,Jubilee-Care Chemist,-1.1003338,37.0129017,31
12579,"PARACETAMOL, CODEINE PHOSPHATE, DOXYLAMINE…",VITAPYN,Jubilee-Care Chemist,-1.1003338,37.0129017,2
12989,"ACECLOFENAC , PARACETAMOL , CHLORZOXAZONE",ZULU MR,"Fast Health Pharmacy , Jubilee-Care Chemist, SIDAI CHEMIST","-1.2908275, -1.1003338, -1.4779526","36.7327734, 37.0129017, 36.9577694",64
13131,PARACETAMOL AND IBUPROFEN,ABUMOL SUSPENSION,"Jubilee-Care Chemist, SIDAI CHEMIST","-1.1003338, -1.4779526","37.0129017, 36.9577694",3
13168,"Paracetamol BP, Aspirin BP, Caffeine BP",PHARMADEX,Fast Health Pharmacy ,-1.2908275,36.7327734,4
13600,Paracetamol BP,Cipladon 500 Tablets,SIDAI CHEMIST,-1.4779526,36.9577694,2
13849,Paracetamol Tablets 500mg,Paracetamol Tablets 500mg,Perta Chemist,-1.1079318,37.016326,70
13889,"ACECLOFENAC BP, PARACETAMOL BP, CHLORZOXAZONE USP",MYONAC MR,"MEDPLEX CHEMIST, SIDAI CHEMIST","-1.4293031, -1.4779526","36.6872005, 36.9577694",48
13934,Paracetamol BP and Thiocolchicoside,THIOZONE,PharmaRic Distributors,0,0,4
13965,"Promethazine Hcl Bp 2.5mg, Diphenhydramine Hcl Bp…",NEXAHIST SYRUP,MEDPLEX CHEMIST,-1.4293031,36.6872005,5
17665,"Acefylline Piperazine, Diphenhydramine",Acefyl Cough Syrup,EMIR HEALTH CENTER ,-1.266125,36.910522,1
17757,"Paracetamol BP, Aceclofenac BP & Chlorzoxazone USP",ACP MR,MEDPLEX CHEMIST,-1.4293031,36.6872005,20
17776,PARACETAMOL,PHARMADOL FIZZ 1000,MEDPLEX CHEMIST,-1.4293031,36.6872005,108
17805,"450MG PARACETAMOL, 5MG DOXYLAMINE SUCCINATE, 10MG…",TAMEPYN,Jubilee-Care Chemist,-1.1003338,37.0129017,4
17901,Diphenhydramine Hydrochloride + Ammonium Chloride…,Upacof expectorant,Jubilee-Care Chemist,-1.1003338,37.0129017,2
17989,"Aspirin, Paracetamol and Caffeine",Action Tablets,EMIR HEALTH CENTER ,-1.266125,36.910522,48
18464,Paracetamol,SIMDOL,Jubilee-Care Chemist,-1.1003338,37.0129017,10
19050,"Aceclofenac, Paracetamol and Chlorzoxazone",SICLOFEN-MR,"BetahCare Family Health Clinic, EMIR HEALTH CENTER , MEDPLEX CHEMIST","-1.266125, -1.4293031","36.910522, 36.6872005",204
19152,Levocetirizine + Montelukast,Monta Plus Tablet,"KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST","-1.2196352, -1.4293031","36.7128582, 36.6872005",138
19234,CEFIXIME TRIHYDRATE,EVERCEF 200 TABLETS,SIDAI CHEMIST,-1.4779526,36.9577694,10
19250,EBASTINE SYRUP,HISTY SYRUP,KEGAKA PHARMACY,-1.0133967,36.9058388,2
19506,PARACETAMOL,MICROMOL SUSPENSION,"ANGELIC STAR PHARMACEUTICALS, BetahCare Family Health Clinic, Jubilee-Care Chemist, MEDPLEX CHEMIST","-1.2834847, -1.1003338, -1.4293031","36.889222, 37.0129017, 36.6872005",23
19512,LORATADINE USP,LORHISTINA TABLETS,"MEDIBLEND , Nas Chemist","-1.282731, 0.5206237","36.7848689, 35.2762755",69
19771,Paracetamol,Pyremol syrup,MEDPLEX CHEMIST,-1.4293031,36.6872005,1
19828,"DIPHENHYDRAMINE HCL BP, CHLORPHENIRAMINE MALEATE…",CONSED EXPECTORANT,"BetahCare Family Health Clinic, EMIR HEALTH CENTER , MEDPLEX CHEMIST","-1.266125, -1.4293031","36.910522, 36.6872005",52
19844,Cefixime USP,BACTIFIX 400,EMIR HEALTH CENTER ,-1.266125,36.910522,2
19992,"IBUPROFEN, PARACETAMOL & CAFFEINE",IBUCAP FORTE CAPSULES,SIDAI CHEMIST,-1.4779526,36.9577694,2
22177,Ibuprofen  BP and Paracetamol BP,Brustan Tablets,Disanjo Chemist ,-1.2650867,36.8826178,6
22185,ACETYLSALICYLIC ACID BP  PARACETAMOL BP  CAFFEINE…,APC  TABLETS,Jubilee-Care Chemist,-1.1003338,37.0129017,6
22231,PARACETAMOL,CALPOL SUSPENSION,"EMIR HEALTH CENTER , MEDIBLEND ","-1.266125, -1.282731","36.910522, 36.7848689",29
22692,Paracetamol Caplets,PHARMADOL,"EMIR HEALTH CENTER , Jubilee-Care Chemist, MEDIBLEND , MEDPLEX CHEMIST, memah bestcare pharmacy","-1.266125, -1.1003338, -1.282731, -1.4293031, -0.3076936","36.910522, 37.0129017, 36.7848689, 36.6872005, 38.2196697",1557
22822,"DIPHENHYDRAMINE HCL, AMMONIUM CHLORIDE.",LACOFF ORIGINAL SYRUP,B-sons pharmacy,-1.2673667,36.7509204,2
23032,PARACETAMOL BP,MICROMOL TABLETS,"ANGELIC STAR PHARMACEUTICALS, SIDAI CHEMIST","-1.2834847, -1.4779526","36.889222, 36.9577694",148
24322,"Diphenhydramine Hydrochloride B.P.,…",BENACOFF LINCTUS,Jubilee-Care Chemist,-1.1003338,37.0129017,2
24495,CETIRIZINE HYDROCHLORIDE,PIRICET 10MG TABLETS,SAMIALBA,-1.279668,36.82553,6
24585,Soluble Paracetamol Tablets BP 1000 mg,MICROMOL 1000,MEDPLEX CHEMIST,-1.4293031,36.6872005,3
24714,Paracetamol,PARATAL JUNIOR TABLETS,EMIR HEALTH CENTER ,-1.266125,36.910522,4
24783,Diclofenac Potassium BP Paracetamol BP and…,Doloact-MR Tablets,"Advan-med pharmaceuticals, BetahCare Family Health Clinic, EMIR HEALTH CENTER , SIDAI CHEMIST","-0.6809050999999999, -1.266125, -1.4779526","34.8207902, 36.910522, 36.9577694",102
24840,Chlorzoxazone USP Paracetamol BP,Myospaz Tablets,MEDIBLEND ,-1.282731,36.7848689,55
24936,Paracetamol  Caffeine and Phenylephrine,Panadol Cold and Flu Day Tablets,SIDAI CHEMIST,-1.4779526,36.9577694,13
24996,Paracetamol Bp 500mg Chlorpheniramine maleate Bp…,Benaflu Cold&Flu Tablets,MEDPLEX CHEMIST,-1.4293031,36.6872005,162
25010,Aceclofenac BP and Paracetamol BP,Actinac plus,EMIR HEALTH CENTER ,-1.266125,36.910522,10
25799,CETIRIZINE HYDROCHLORIDE BP,RIZEXIN ORAL SOLUTION,Perta Chemist,-1.1079318,37.016326,28
25813,Montelukast Sodium; Levocetirizine Hydrochloride,LEVOLUKAST KID,KARURA CHEMIST II  TILL 8073490,-1.2196352,36.7128582,10
25827,ACECLOFENAC AND PARACETAMOL,ZOFEN P,ANGELIC STAR PHARMACEUTICALS,-1.2834847,36.889222,2
25838,Cetirizine Hydrochloride,RHIZIN,MEDPLEX CHEMIST,-1.4293031,36.6872005,116
26139,Paracetamol caffeine  aspirin,HEDEX Caplets,Nas Chemist,0.5206237,35.2762755,8
26197,ELEMENTAL ZINC AS  ZINC SULPHATE MONOHYDRATE,ZINCAT-OD SYRUP,EMIR HEALTH CENTER ,-1.266125,36.910522,12
29458,PARACETAMOL,PARAFAST ET 1000 TABLETS,SIDAI CHEMIST,-1.4779526,36.9577694,3
29467,CETIRIZINE HYDROCHLORIDE,CETRIZ SYRUP,EMIR HEALTH CENTER ,-1.266125,36.910522,5
29502,Levocetirizine Hydrochloride Montelukast Sodium,L Montus Kid,SIDAI CHEMIST,-1.4779526,36.9577694,5
30029,"Aspirin, Paracetamol and Caffeine",Mara Moja Tablets,"edlian hope u, Jubilee-Care Chemist","0.0, -1.1003338","0.0, 37.0129017",60
30255,Paracetamol,ABPARA,KARURA CHEMIST II  TILL 8073490,-1.2196352,36.7128582,1
30508,CEFIXIME TRIHYDRATE,EVERCEF 400 TABLETS,Jubilee-Care Chemist,-1.1003338,37.0129017,40
31377,Levocetirizine Dihydrochloride USP,LEVOFREE 5MG TABLETS,MEDPLEX CHEMIST,-1.4293031,36.6872005,21
31519,Ibuprofen  BP and Paracetamol BP,Brustan Suspension,"Jubilee-Care Chemist, KARURA CHEMIST II  TILL 8073490","-1.1003338, -1.2196352","37.0129017, 36.7128582",2
31542,PARACETAMOL  CHLORPHENIRAMINE MALEATE …,COLDFLU CAPSULES,"EMIR HEALTH CENTER , MEDPLEX CHEMIST","-1.266125, -1.4293031","36.910522, 36.6872005",12
31565,"Chlorpheniramine,Caffeine,Paracetamol AND…",HOMAGON CAPSULES,MEDPLEX CHEMIST,-1.4293031,36.6872005,108
31595,"CHLORPHENIRAMINE MALEATE, DIPHENHYDRAMINE HCl,…",COPHYDREX EXPECTORANT,MEDPLEX CHEMIST,-1.4293031,36.6872005,9
31677,Paracetamol BP and Ibuprofen BP,Betafen Plus Suspension,MEDPLEX CHEMIST,-1.4293031,36.6872005,3
31847,Cefixime trihydrate USP,Theofix-400,"MEDPLEX CHEMIST, SIDAI CHEMIST","-1.4293031, -1.4779526","36.6872005, 36.9577694",96
32990,paracetamol tabs,betamol,EMIR HEALTH CENTER ,-1.266125,36.910522,950
39442,CALPOL INFANT SUSP. 100ML,CALPOL INFANT SUSP. 100ML,Apotek Pharmaceutical,-1.2885927,36.9504001,5
40098,PANADOL BABY INFANT 60ML,PANADOL BABY INFANT 60ML,"EMIR HEALTH CENTER , MEDPLEX CHEMIST","-1.266125, -1.4293031","36.910522, 36.6872005",3
40142,PIRICET SYRUP 60ML,PIRICET SYRUP 60ML,"EMIR HEALTH CENTER , Jubilee-Care Chemist","-1.266125, -1.1003338","36.910522, 37.0129017",16
40464,WOODWARDS GRIPE WATER 100ML,WOODWARDS GRIPE WATER 100ML,EMIR HEALTH CENTER ,-1.266125,36.910522,2
41348,CEFIXIME 400MG TABS 10S(XIFIX,CEFIXIME 400MG TABS 10S(XIFIX,Jubilee-Care Chemist,-1.1003338,37.0129017,50
45960,Ballet Perfumed Baby Jelly 100g,Ballet Perfumed Baby Jelly 100g,Vutia Health,,,10
46202,ANAMOL PAED SUSP 60ML (PARACETAMOL),ANAMOL PAED SUSP 60ML (PARACETAMOL),Nas Chemist,0.5206237,35.2762755,1
48932,INFACOL DROPS 55ML(SIMETHICONE),INFACOL DROPS 55ML(SIMETHICONE),MEDPLEX CHEMIST,-1.4293031,36.6872005,1
49620,PANADOL BABY & INFANT 60ML,PANADOL BABY & INFANT 60ML,Apotek Pharmaceutical,-1.2885927,36.9504001,1
50587,PARACETAMOL 100ML (FEVERCET)PCM,PARACETAMOL 100ML (FEVERCET)PCM,urit medical ,-1.1009928,37.0129877,1
50944,PARACETAMOL 60ML(TRUMOL)PCM,PARACETAMOL 60ML(TRUMOL)PCM,urit medical ,-1.1009928,37.0129877,19
53106,PARACETAMOL 60ML(TOTOMOL)PCM,PARACETAMOL 60ML(TOTOMOL)PCM,ZOLO HEALTHCARE SOLUTIONS,,,1
56152,GRIPE WATER (BETA) 60ML,GRIPE WATER (BETA) 60ML,Perta Chemist,-1.1079318,37.016326,1
