medicine_id,medicine_name,brand,pharmacy_names,latitudes,longitudes,total_quantity_sold
690,Cough Syrup,"Trimex, Mucolytic","ANGELIC STAR PHARMACEUTICALS, Apotek Pharmaceutical","-1.2834847, -1.2885927","36.889222, 36.9504001",6
691,Cough Syrup,Tuspel,Gitrose Pharmacy,-1.2552408,36.6943718,2732879
692,Cough Syrup,Zedex,MEDPLEX CHEMIST,-1.4293031,36.6872005,1
694,Cough Syrup,"Benylin, 4 Flu",KARURA CHEMIST II  TILL 8073490,-1.2196352,36.7128582,1
695,Cough Syrup,"Coscof, Expectorant",KARURA CHEMIST II  TILL 8073490,-1.2196352,36.7128582,1
696,Cough Syrup,Tricoff Green,"BetahCare Family Health Clinic, CALMAK CHEMIST , MEDPLEX CHEMIST, Nas Chemist, SABED PHARMACY , SIDAI CHEMIST, urit medical , Wellright chemist","-1.053931, -1.4293031, 0.5206237, -1.2573158, -1.4779526, -1.1009928, -1.2205128","38.3631399, 36.6872005, 35.2762755, 36.9162208, 36.9577694, 37.0129877, 36.7125344",33
697,Cough Syrup,"Delased, Dry Non Drowsy","Jubilee-Care Chemist, KARURA CHEMIST II  TILL 8073490","-1.1003338, -1.2196352","37.0129017, 36.7128582",3
698,Cough Syrup,Solvin Plus,"KARURA CHEMIST II  TILL 8073490, SIDAI CHEMIST","-1.2196352, -1.4779526","36.7128582, 36.9577694",2
700,Cough Syrup,"Zecuf, Herbal",MEDPLEX CHEMIST,-1.4293031,36.6872005,3
701,Cough Syrup,"Benylin, Paediatric","Eloc pharmacy , KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST, Sawalink pharmacy ","-1.2953742, -1.2196352, -1.4293031, -1.3018248","36.7455442, 36.7128582, 36.6872005, 36.8901475",7
702,Cough Syrup,Cofta,"Jufan Pharmacy, MEDPLEX CHEMIST, Nas Chemist","-1.1650403, -1.4293031, 0.5206237","36.9696471, 36.6872005, 35.2762755",13
704,Cough Syrup,"Delased, Dry","AL-AMIN CHEMIST, MEDIBLEND , MEDPLEX CHEMIST","-1.3484893, -1.282731, -1.4293031","36.661076, 36.7848689, 36.6872005",8
705,Cough Syrup,"Benylin, Chesty",Romac Pharmacy ,-1.2706834,36.8466657,76
707,Cough Syrup,Tuspel Plus,MEDPLEX CHEMIST,-1.4293031,36.6872005,2
710,Cough Syrup,Cadiphen,"benkay, SIDAI CHEMIST","0.7899406, -1.4779526","34.8844867, 36.9577694",2
712,Cough Syrup,"Upacof, Dry","EMIR HEALTH CENTER , MEDIBLEND , memah bestcare pharmacy, Perta Chemist","-1.266125, -1.282731, -0.3076936, -1.1079318","36.910522, 36.7848689, 38.2196697, 37.016326",9
713,Cough Syrup,Trihistamin,"BetahCare Family Health Clinic, LakeSide Chemist , Update chemists","-1.3157648, -1.4522902","36.7837175, 36.974174",3
714,Cough Syrup,Imacoff Dry,"KEGAKA PHARMACY, MEDPLEX CHEMIST","-1.0133967, -1.4293031","36.9058388, 36.6872005",12
715,Cough Syrup,Tuspel Plus,"ABIJO PHARMACY- WANYEE (Nairobi), ABM PHARMACY (NGARA STAGE) (Nairobi), ABM PHARMACY LIMITED (Nairobi), ABRAPHARMA PHARMACEUTICALS KASARANI (Nairobi), ACCIPITRIDAE CHEMIST (Nairobi), ACCRA PHARMACY LTD - OPPOSITE MLK HOSP (Nairobi), ACCRA PHARMACY LTD HAKATI (Nairobi), ACCRA-MED CHEMISTS LIMITED (Nairobi), ACE CARE PHARMACEUTICALS  (Nairobi), ADONISI PHARMACEUTICALS (Nairobi), AFRILIFE CHEMIST LTD (BURUBURU) (Nairobi), AFYACARE PHARMA (Nairobi), AGA KHAN HEALTH SERVICES,KENYA - HOMA BAY (Nairobi), AGAROSE PHARMACY (Nairobi), AGMART PHARMACEUTICALS-MUHOHO AVENUE (Nairobi), AHWAN PHARMACEUTICALS LIMITED (Nairobi), AJWA PHARMACEUTICALS LIMITED (Nairobi), AKIMA PHARMACY (Nairobi), AL-AQSA DISPENSING CHEMIST (Nairobi), AL-HANAF PHARMACY (Nairobi), AL-HARAMAIN PHARMACEUTICAL COMPANY LIMITED (Nairobi), ALANE PHARMACY LTD (Nairobi), ALIF MEDICAL SERVICES LIMITED (Nairobi), ALISON AGROCHEM CHEMISTS LIMITED (Nairobi), ALKEN PHARMACEUTICAL LTD (Nairobi), ALKEN PHARMACEUTICAL LTD - B-CENTRE (Nairobi), ALKEN PHARMACEUTICA","-1.2953742, -1.2757621, -1.2848129, -1.2172469, -1.2575249, -1.2755888, -1.3066383, -1.2832624, -1.2829416, -1.2688065, -1.3089651, -1.2618776, -1.2831312, -1.323767, -1.2589182, -1.2647119, -1.2059489, -1.2715424, -1.2721321, -1.2744794, -1.276733, -1.2731049, -1.2253857, -1.2880112, -1.2958752, -1.3128673, -1.284749, -1.1990686, -1.2579931, -1.2705845, -1.2913585, -1.2715203, -1.2849625, -1.2869817, -1.2849438, -1.2469388, -1.3139741, -1.3152957, -1.2185276, -1.2834847, -1.2773221, -1.3210273, -1.3211336, -1.2735173, -1.2493027, -1.2786587, -1.2953175, -1.2624961, -1.2575724, -1.32349, -1.2816014, -1.2345294, -1.2736832, -1.2694513, -1.3590694, -1.271185, -1.3138776, -1.2774177, -1.2844938, -1.2920658, -1.2520284, -1.3205309, -1.1835554, -1.2774587, -1.3647519, -1.2964585, -1.2004353, -1.2742434, -1.2741186, -1.317058, -1.1852458, -1.3127776, -1.2323179, -1.272905, -1.2959953, -1.2525589, -1.2523093, -1.277364, -1.3244384, -1.284504, -1.2837102, -1.275237, -1.2763955, -1.291999, -1.2906482, -1.2931221, -1.2","36.7455442, 36.8290212, 36.7530976, 36.8959913, 36.9120257, 36.9109491, 36.8024294, 36.8266431, 36.7369557, 36.8093088, 36.8936368, 36.8237412, 36.9029929, 36.843886, 36.8142488, 36.8389479, 36.8952592, 36.8478688, 36.8424626, 36.8506309, 36.8307703, 36.8512824, 36.9210154, 36.8620558, 36.86992360000001, 36.889599, 36.9000191, 36.9031977, 36.921258, 36.84557, 36.7339325, 36.987496, 36.8945577, 36.9861242, 36.8686616, 36.9012134, 36.823283, 36.9025676, 36.889222, 36.8158265, 36.8974843, 36.8006868, 36.96363580000001, 36.6845007, 36.88855, 36.6984177, 36.8222835, 36.8117362, 36.70831, 36.818184, 36.9038803, 36.8511881, 36.7998296, 36.7468779, 36.8493086, 36.8951043, 36.7917285, 36.828068, 36.7946567, 36.70374049999999, 36.9005074, 36.85141, 36.9454922, 36.7995443, 36.9005796, 36.8435388, 36.844201, 36.8959223, 36.9068067, 36.8295928, 36.8035009, 36.851265, 36.8082191, 36.927833, 36.9497128, 36.8760519, 36.8984997, 36.9002232, 36.7586288, 36.8219406, 36.8268934, 36.8458016, 36.9029842, 36.7897254, 36.8026754, 36",125182
716,Cough Syrup,Tricohist,"BetahCare Family Health Clinic, EMIR HEALTH CENTER , Falcon medical clinic , Lifemed 3ds mlolongo , Maxima pharmaceuticals , MEDIBLEND , Nas Chemist, Perta Chemist, SIDAI CHEMIST, trophychem","-1.266125, -1.3940237, -1.2891915, -1.282731, 0.5206237, -1.1079318, -1.4779526, -1.261017","36.910522, 36.9390723, 36.7535798, 36.7848689, 35.2762755, 37.016326, 36.9577694, 36.802003",15
717,Cough Syrup,Tricoff Green,"ANGELIC STAR PHARMACEUTICALS, CARDINAL CHEMIST, Disanjo Chemist , EMIR HEALTH CENTER , MEDPLEX CHEMIST","-1.2834847, -1.3958137, -1.2650867, -1.266125, -1.4293031","36.889222, 36.7638655, 36.8826178, 36.910522, 36.6872005",26
718,Cough Syrup,"Benylin, Original",MEDPLEX CHEMIST,-1.4293031,36.6872005,1
719,Cough Syrup,Flugone P+,"EMIR HEALTH CENTER , KARURA CHEMIST II  TILL 8073490, MEDIBLEND , SIDAI CHEMIST","-1.266125, -1.2196352, -1.282731, -1.4779526","36.910522, 36.7128582, 36.7848689, 36.9577694",7
721,Cough Syrup,Bro - Zedex,"EMIR HEALTH CENTER , Nas Chemist","-1.266125, 0.5206237","36.910522, 35.2762755",2
722,Cough Syrup,"Trimex, Diabetic","KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST","-1.2196352, -1.4293031","36.7128582, 36.6872005",3
723,Cough Syrup,Tuspress,"KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST","-1.2196352, -1.4293031","36.7128582, 36.6872005",3
724,Cough Syrup,Chestcof,"B-sons pharmacy, EMIR HEALTH CENTER , Jubilee-Care Chemist, MEDPLEX CHEMIST","-1.2673667, -1.266125, -1.1003338, -1.4293031","36.7509204, 36.910522, 37.0129017, 36.6872005",6
725,Cough Syrup,Imacoff Paediatric,"B-sons pharmacy, MEDPLEX CHEMIST","-1.2673667, -1.4293031","36.7509204, 36.6872005",7
726,Cough Syrup,"Delased, Chesty","Eloc pharmacy , MEDPLEX CHEMIST","-1.2953742, -1.4293031","36.7455442, 36.6872005",6
727,Cough Syrup,Flugone Expectorant,KARURA CHEMIST II  TILL 8073490,-1.2196352,36.7128582,1
728,Cough Syrup,Tuspress,ANGELIC STAR PHARMACEUTICALS,-1.2834847,36.889222,2
729,Cough Syrup,"Dacof, Mucolytic","Mercilin Afya services , SIDAI CHEMIST","-1.3921923, -1.4779526","36.9407301, 36.9577694",2
730,Cough Syrup,"Trimex, Paediatric","ANGELIC STAR PHARMACEUTICALS, Apotek Pharmaceutical, B-sons pharmacy, EMIR HEALTH CENTER , MEDPLEX CHEMIST","-1.2834847, -1.2885927, -1.2673667, -1.266125, -1.4293031","36.889222, 36.9504001, 36.7509204, 36.910522, 36.6872005",11
731,Cough Syrup,"Benylin, Dry","KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST","-1.2196352, -1.4293031","36.7128582, 36.6872005",3
732,Cough Syrup,Coldcap,KARURA CHEMIST II  TILL 8073490,-1.2196352,36.7128582,1
733,Cough Syrup,Good Morning,"Apotek Pharmaceutical, B-sons pharmacy, Crowmed pharmaceuticals , EMIR HEALTH CENTER , MEDPLEX CHEMIST, SIDAI CHEMIST, Sportpharm chemist","-1.2885927, -1.2673667, -1.3621855, -1.266125, -1.4293031, -1.4779526, -1.2937908","36.9504001, 36.7509204, 36.6555867, 36.910522, 36.6872005, 36.9577694, 36.8797927",143
735,Cough Syrup,Flugone Dm,"ANGELLIC STAR PHARMACY , Apotek Pharmaceutical, KARURA CHEMIST II  TILL 8073490","-1.2844625, -1.2885927, -1.2196352","36.885289, 36.9504001, 36.7128582",6
737,Cough Syrup,Trihistamin,"BetahCare Family Health Clinic, Nas Chemist",0.5206237,35.2762755,2
738,Cough Syrup,Nicof,"ANGELLIC STAR PHARMACY , CARDINAL CHEMIST","-1.2844625, -1.3958137","36.885289, 36.7638655",2
739,Cough Syrup,Glykof,"Eloc pharmacy , Jannice  chemist , KEGAKA PHARMACY","-1.2953742, -1.2864807, -1.0133967","36.7455442, 36.8229751, 36.9058388",4
740,Cough Syrup,Herbigor HTC,"Disanjo Chemist , KARURA CHEMIST II  TILL 8073490, MEDPLEX CHEMIST, Tikotiko Chemist ","-1.2650867, -1.2196352, -1.4293031, -1.3080828","36.8826178, 36.7128582, 36.6872005, 36.7819929",10
